"Site","area_sampled","num","ave_tt","ave_hw","ave_sf","ave_rm","total_ave_sg","fSite"
16,3,0,70.5,11.5,0,0,82,"16"
17,3,0,65.5,0,0,0,65.5,"17"
9,3,0,15.5,0.5,0,0,16,"9"
1,3,0,12.5,13.5,0,0,26,"1"
2,3,0,0,15.3,0,0,15.3,"2"
3,3,0,1.6,12,0,0,13.6,"3"
4,3,0,1.7,43,0,0,44.7,"4"
5,3,0,0,71,0,0,71,"5"
6,3,0,0,13,0,0,13,"6"
7,3,0,12.6,40.5,0,0,53.1,"7"
8,3,0,6.5,8.8,0,0,15.3,"8"
10,3,1,16.6,1.7,0,0,18.3,"10"
11,3,0,52.5,0,0,0,52.5,"11"
12,3,0,7,37.5,0,0,44.5,"12"
13,3,0,8.6,2.6,0,0,11.2,"13"
14,3,0,0.5,8,0,0,8.5,"14"
15,3,0,20.5,1.2,0,0,21.7,"15"
16,3,0,45.5,3.5,0,0,49,"16"
17,3,0,55.5,7.5,0,0,63,"17"
9,3,0,55.5,0.2,0,0,55.7,"9"
1,3,0,4.6,26,0,0,30.6,"1"
2,3,0,0,0,0,0,0,"2"
3,3,0,0,14.5,0,0,14.5,"3"
4,3,0,0.6,33,0,0,33.6,"4"
5,3,0,0,0,0,0,0,"5"
6,3,0,0,0,0,0,0,"6"
7,3,0,0,0,0,0,0,"7"
8,3,0,2.1,8,0,0,10.1,"8"
36,3,5,19.5,0,0,0,19.5,"36"
38,3,0,0,9.5,0,0,9.5,"38"
39,3,0,0,11.6,0,0,11.6,"39"
40,3,1,41,5.3,0,0,46.3,"40"
41,3,4,45.5,5,0,0,50.5,"41"
42,3,0,5.1,0.1,0,0,5.2,"42"
43,3,2,34,0.6,0,0,34.6,"43"
44,3,1,7.5,5,0,0,12.5,"44"
45,3,1,43,0,0,0,43,"45"
46,3,0,17.5,0,0,0,17.5,"46"
47,3,0,33,0,0,0,33,"47"
26,3,0,7.8,7,0,0,14.8,"26"
27,3,0,15.5,2.9,0,0,18.4,"27"
28,3,0,2.6,8.6,0,0,11.2,"28"
29,3,0,9.5,4.8,0,0,14.3,"29"
30,3,0,5,13.5,0,0,18.5,"30"
31,3,0,1,12.5,0,0,13.5,"31"
32,3,0,0,24,0,0,24,"32"
33,3,0,11.2,12.1,0,0,23.3,"33"
34,3,1,9.5,18.1,0,0,27.6,"34"
35,3,0,4,13,0,0,17,"35"
37,3,0,10.2,18.5,0,0,28.7,"37"
18,3,0,0,14.5,0,0,14.5,"18"
19,3,0,0,13.5,0,0.5,14,"19"
20,3,0,0,20.5,0,0,20.5,"20"
21,3,0,0,9,0,1.6,10.6,"21"
22,3,0,0,14,0,0.4,14.4,"22"
23,3,0,3.6,14.5,0,0.1,18.2,"23"
24,3,0,0.5,12.5,0,0,13,"24"
25,3,0,2.5,11.5,0,2.7,16.7,"25"
10,3,0,16.5,1.5,0,0,18,"10"
11,3,0,52,3.2,0,0,55.2,"11"
6,3,0,0,28,0,0,28,"6"
7,3,2,0,13.6,0,0,13.6,"7"
8,3,0,4.3,4.1,0,0,8.4,"8"
9,3,0,17,2.1,0,0,19.1,"9"
1,3,0,2.6,15.5,0,0,18.1,"1"
2,3,0,0.1,33,0,0,33.1,"2"
3,3,0,3.1,16,0,0,19.1,"3"
4,3,0,1.2,22,0,0,23.2,"4"
5,3,0,0,1.7,0,0,1.7,"5"
38,3,0,0,27,0,0,27,"38"
39,3,0,8.1,10.7,0,0,18.8,"39"
